type	Qda	Qd	Qa	Q0	P5	P4	P3	P2	P1	Nda	Nd	Na	N0	C5	C4	C3	C2	C1	SC4    EO
Qda	0	0	0	2	0	0	0	1	1	1	1	1	4	5	6	7	9	9	6      4
Qd	0	1	0	2	0	0	0	1	1	1	3	1	4	5	6	7	9	9	6      4 
Qa	0	0	1	2	0	0	0	1	1	1	1	3	4	5	6	7	9	9	6      4
Q0	2	2	2	4	1	0	1	2	3	3	3	3	4	5	6	7	9	9	6      4
P5	0	0	0	1	0	0	0	0	0	1	1	1	4	5	6	6	7	8	6      4
P4	0	0	0	0	0	1	1	2	2	3	3	3	4	5	6	6	7	8	6      4
P3	0	0	0	1	0	1	1	2	2	2	2	2	4	4	5	5	6	7	5      4
P2	1	1	1	2	0	2	2	2	2	2	2	2	3	4	4	5	6	7	4      5
P1	1	1	1	3	0	2	2	2	2	2	2	2	3	4	4	4	5	6	4      5
Nda	1	1	1	3	1	3	2	2	2	2	2	2	4	4	5	6	6	6	5      5	 
Nd	1	3	1	3	1	3	2	2	2	2	3	2	4	4	5	6	6	6	5      5
Na	1	1	3	3	1	3	2	2	2	2	2	3	4	4	5	6	6	6	5      5
N0	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	4	5	6	4      5
C5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	5	5	4      11
C4	6	6	6	6	6	6	5	4	4	5	5	5	4	4	4	4	5	5	4      11
C3	7	7	7	7	6	6	5	5	4	6	6	6	4	4	4	4	4	4	4      11
C2	9	9	9	9	7	7	6	6	5	6	6	6	5	5	5	4	4	4	5	6
C1	9	9	9	9	8	8	7	7	6	6	6	6	6	5	5	4	4	4	5      10 
SC4	6	6	6	6	6	6	5	4	4	5	5	5	4	4	4	4	5	5	10     20
E0      4       4       4       4       4       4       4       5       5       5       5       5       5      11      11      11       6      10       20     12
eps	5.6	5.0	4.5	4.0	3.5	3.1	2.7	2.3	2.0	2.0     2.53    2.95    3.5      0       0       0       0       0        0     0
sigma	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.62	0.47    0.47    0.43     0       0       0       0       0        0     0
